Cell,EW,NS,Trials,Presences
12036,522500,9892500,1,0
12037,527500,9892500,10,0
12038,532500,9892500,13,0
12039,537500,9892500,3,0
12084,762500,9892500,25,0
12089,787500,9892500,1,0
12140,497500,9897500,2,0
12141,502500,9897500,2,0
12142,507500,9897500,10,0
12143,512500,9897500,11,0
12146,527500,9897500,6,0
12147,532500,9897500,16,0
12148,537500,9897500,13,1
12149,542500,9897500,6,0
12150,547500,9897500,3,0
12151,552500,9897500,2,0
12193,762500,9897500,7,0
12234,422500,9902500,10,0
12247,487500,9902500,10,0
12248,492500,9902500,3,0
12249,497500,9902500,1,0
12251,507500,9902500,12,0
12252,512500,9902500,25,1
12255,527500,9902500,3,0
12256,532500,9902500,8,1
12257,537500,9902500,20,6
12258,542500,9902500,9,0
12260,552500,9902500,5,0
12302,762500,9902500,3,0
12337,392500,9907500,10,0
12346,437500,9907500,10,0
12357,492500,9907500,5,0
12358,497500,9907500,1,0
12360,507500,9907500,4,0
12361,512500,9907500,19,1
12362,517500,9907500,4,0
12364,527500,9907500,14,0
12365,532500,9907500,6,0
12366,537500,9907500,6,1
12367,542500,9907500,5,0
12368,547500,9907500,4,0
12369,552500,9907500,3,0
12466,492500,9912500,5,0
12467,497500,9912500,5,0
12470,512500,9912500,11,0
12471,517500,9912500,21,2
12472,522500,9912500,9,0
12473,527500,9912500,9,0
12479,557500,9912500,7,0
12480,562500,9912500,1,0
12514,732500,9912500,6,0
12518,752500,9912500,1,0
12519,757500,9912500,14,0
12520,762500,9912500,15,0
12521,767500,9912500,9,0
12567,452500,9917500,2,0
12568,457500,9917500,10,0
12569,462500,9917500,11,0
12570,467500,9917500,28,0
12571,472500,9917500,14,0
12572,477500,9917500,5,0
12573,482500,9917500,2,0
12574,487500,9917500,3,0
12575,492500,9917500,1,0
12576,497500,9917500,8,0
12577,502500,9917500,2,0
12578,507500,9917500,5,0
12579,512500,9917500,9,1
12580,517500,9917500,13,0
12581,522500,9917500,4,0
12582,527500,9917500,1,0
12589,562500,9917500,3,0
12616,697500,9917500,7,1
12627,752500,9917500,5,0
12628,757500,9917500,10,0
12629,762500,9917500,5,0
12634,787500,9917500,3,0
12646,302500,9922500,10,0
12656,352500,9922500,10,0
12676,452500,9922500,2,0
12677,457500,9922500,14,0
12678,462500,9922500,14,0
12679,467500,9922500,19,0
12680,472500,9922500,36,0
12681,477500,9922500,41,0
12682,482500,9922500,34,0
12683,487500,9922500,34,0
12684,492500,9922500,26,0
12685,497500,9922500,11,0
12686,502500,9922500,11,1
12687,507500,9922500,7,0
12698,562500,9922500,1,0
12737,757500,9922500,8,0
12738,762500,9922500,12,0
12739,767500,9922500,2,0
12743,787500,9922500,3,0
12744,792500,9922500,10,0
12786,457500,9927500,1,0
12787,462500,9927500,18,0
12788,467500,9927500,22,0
12789,472500,9927500,11,0
12790,477500,9927500,10,0
12791,482500,9927500,10,0
12792,487500,9927500,11,0
12794,497500,9927500,3,0
12795,502500,9927500,8,0
12796,507500,9927500,7,0
12807,562500,9927500,5,0
12842,737500,9927500,10,0
12845,752500,9927500,1,0
12846,757500,9927500,12,0
12847,762500,9927500,11,0
12848,767500,9927500,2,0
12852,787500,9927500,2,0
12853,792500,9927500,71,0
12854,797500,9927500,11,0
12897,467500,9932500,4,0
12898,472500,9932500,13,0
12899,477500,9932500,5,0
12900,482500,9932500,4,0
12901,487500,9932500,5,0
12904,502500,9932500,5,0
12905,507500,9932500,3,0
12916,562500,9932500,1,0
12947,717500,9932500,10,0
12954,752500,9932500,10,0
12955,757500,9932500,20,0
12956,762500,9932500,15,0
12961,787500,9932500,21,0
12962,792500,9932500,100,0
12963,797500,9932500,88,0
13010,487500,9937500,7,0
13011,492500,9937500,10,0
13012,497500,9937500,9,0
13013,502500,9937500,12,0
13014,507500,9937500,2,0
13025,562500,9937500,3,0
13026,567500,9937500,2,0
13044,657500,9937500,9,3
13045,662500,9937500,2,0
13060,737500,9937500,6,0
13064,757500,9937500,3,0
13069,782500,9937500,10,0
13070,787500,9937500,12,0
13071,792500,9937500,75,0
13072,797500,9937500,9,0
13107,427500,9942500,10,0
13152,652500,9942500,18,7
13153,657500,9942500,25,9
13154,662500,9942500,21,8
13155,667500,9942500,3,3
13180,792500,9942500,68,0
13181,797500,9942500,100,0
13192,307500,9947500,10,0
13202,357500,9947500,10,0
13261,652500,9947500,12,0
13262,657500,9947500,15,0
13263,662500,9947500,3,1
13284,767500,9947500,6,0
13289,792500,9947500,14,0
13290,797500,9947500,100,0
13399,797500,9952500,1,0
13486,687500,9957500,7,1
13487,692500,9957500,7,2
13509,802500,9957500,10,0
13553,477500,9962500,3,0
13554,482500,9962500,5,0
13664,487500,9967500,4,0
13665,492500,9967500,3,0
13666,497500,9967500,3,0
13667,502500,9967500,3,0
13715,742500,9967500,6,0
13741,327500,9972500,10,0
13775,497500,9972500,1,0
13777,507500,9972500,3,0
13778,512500,9972500,5,0
13780,522500,9972500,4,0
13781,527500,9972500,5,0
13832,782500,9972500,6,0
13844,297500,9977500,10,0
13885,502500,9977500,6,0
13886,507500,9977500,3,0
13887,512500,9977500,13,0
13888,517500,9977500,2,0
13889,522500,9977500,3,0
13890,527500,9977500,2,0
13894,547500,9977500,3,0
13939,772500,9977500,4,0
13940,777500,9977500,100,0
13994,502500,9982500,7,0
13995,507500,9982500,18,0
13996,512500,9982500,6,0
13997,517500,9982500,8,0
13998,522500,9982500,5,0
13999,527500,9982500,5,0
14000,532500,9982500,5,0
14001,537500,9982500,5,0
14002,542500,9982500,5,0
14003,547500,9982500,17,0
14047,767500,9982500,8,0
14048,772500,9982500,7,2
14049,777500,9982500,100,0
14050,782500,9982500,100,0
14051,787500,9982500,100,0
14052,792500,9982500,52,0
14053,797500,9982500,2,0
14103,502500,9987500,11,0
14104,507500,9987500,26,0
14156,767500,9987500,21,2
14157,772500,9987500,100,5
14158,777500,9987500,52,0
14159,782500,9987500,100,0
14160,787500,9987500,100,0
14161,792500,9987500,100,0
14162,797500,9987500,100,0
14163,802500,9987500,6,0
14175,317500,9992500,10,0
14213,507500,9992500,17,0
14214,512500,9992500,2,0
14267,777500,9992500,3,0
14268,782500,9992500,100,0
14269,787500,9992500,24,0
14270,792500,9992500,60,0
14271,797500,9992500,75,0
14272,802500,9992500,100,0
14278,832500,9992500,10,0
14323,512500,9997500,8,0
14324,517500,9997500,8,0
14365,722500,9997500,10,0
14377,782500,9997500,14,0
14378,787500,9997500,5,0
14379,792500,9997500,11,0
14380,797500,9997500,33,0
14381,802500,9997500,100,0
14382,807500,9997500,2,0
14426,482500,10002500,10,0
14433,517500,10002500,2,0
14434,522500,10002500,11,0
14435,527500,10002500,2,0
14456,632500,10002500,7,0
14457,637500,10002500,10,0
14458,642500,10002500,10,0
14459,647500,10002500,11,0
14460,652500,10002500,2,0
14461,657500,10002500,12,0
14462,662500,10002500,12,0
14463,667500,10002500,4,0
14486,782500,10002500,41,0
14487,787500,10002500,10,0
14488,792500,10002500,14,0
14489,797500,10002500,100,0
14490,802500,10002500,100,0
14540,507500,10007500,1,0
14541,512500,10007500,2,0
14543,522500,10007500,10,0
14544,527500,10007500,10,0
14545,532500,10007500,8,0
14546,537500,10007500,10,0
14567,642500,10007500,8,0
14568,647500,10007500,8,0
14569,652500,10007500,26,0
14570,657500,10007500,22,0
14571,662500,10007500,6,0
14587,742500,10007500,10,0
14591,762500,10007500,6,0
14594,777500,10007500,20,0
14595,782500,10007500,100,0
14596,787500,10007500,30,0
14597,792500,10007500,33,0
14598,797500,10007500,100,0
14599,802500,10007500,5,0
14611,317500,10012500,10,0
14628,402500,10012500,10,0
14644,482500,10012500,10,0
14649,507500,10012500,10,0
14650,512500,10012500,4,0
14651,517500,10012500,1,0
14654,532500,10012500,12,0
14655,537500,10012500,6,0
14676,642500,10012500,6,0
14677,647500,10012500,9,0
14678,652500,10012500,14,0
14679,657500,10012500,14,0
14680,662500,10012500,1,0
14698,752500,10012500,6,0
14703,777500,10012500,16,0
14704,782500,10012500,11,0
14706,792500,10012500,26,0
14707,797500,10012500,1,0
14760,517500,10017500,5,0
14764,537500,10017500,11,0
